Field,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015
 Business management ,316284,324251,327529,322485,319431,323627
 Social and behavioral sciences ,278617,287030,296861,301063,298669,292283
 Health sciences ,129623,143463,163675,181149,198770,216228
 Science ,109329,114202,121842,127711,133292,139257
" Eng, arch, and sci tech ",98806,102925,108512,113081,118357,124512
 Communications and design ,106956,109758,110992,112507,114837,117422
 Education ,101287,104008,105656,104698,98854,91623
 Fine/performing arts ,70904,72270,73568,75097,75000,74195
 Consumer services ,53455,56964,61458,65664,69840,72675
 Protective services ,43613,47600,54091,60264,62409,62723
 Computer and information sciences ,39593,43066,47406,50961,55367,59581
" Public, legal, and social services ",38111,40397,43689,45862,47765,48590
 Interdisciplinary studies ,37717,42473,45717,47658,48348,47556
 Letters/English ,53229,52754,53765,52401,50404,45847
 Liberal/general studies ,46963,46717,46961,46790,45260,43647
 Marketing ,40739,39479,38249,36967,37192,38658
 Agriculture and natural resources ,26343,28630,30972,33592,35116,36277
 Humanities ,34010,34535,34401,34439,32332,30565
 Mathematics ,16029,17182,18841,20449,20980,21853
" Mfg, const, repair, and trans ",8154,8160,7846,7410,7467,7703
