State,Y2008_09,Y2009_10,Y2010_11,Y2011_12,Y2012_13,Y2013_14,Y2014_15,Y2015_16
Alabama,42082,43166,46035,45394,44233,44540,45420,46070
Alaska,8008,8245,8064,7989,7860,7720,7860,7840
Arizona,62374,61145,64472,63208,62208,66700,67200,67120
Arkansas,28057,28276,28205,28419,28928,29610,30350,30290
California,372310,404987,410467,418664,422125,424080,422830,419190
Colorado,47459,49321,50122,50087,50968,51310,51450,53310
Connecticut,34968,34495,38854,38681,38722,37860,37160,37420
Delaware,7839,8133,8043,8247,8070,8240,8390,8480
District of Columbia,3517,3602,3477,3860,3961,3880,3990,4510
Florida,153461,156130,155493,151964,158029,158440,163740,166540
Georgia,88003,91561,92338,90582,92416,94380,97420,100070
Hawaii,11508,10998,10716,11360,10790,11050,10760,10860
Idaho,16807,17793,17525,17568,17198,19120,18050,18230
Illinois,131670,139035,134956,139575,139228,137640,140520,140850
Indiana,63663,64551,66133,65667,66595,67560,66750,66720
Iowa,33926,34462,33853,33230,32548,32590,32450,32700
Kansas,30368,31642,31370,31898,31922,32150,31900,32790
Kentucky,41851,42664,43031,42642,42888,42400,42530,43280
Louisiana,35622,36573,35844,36675,37508,38180,37720,38790
Maine,14093,14069,13653,13473,13170,12730,12560,12790
Maryland,58304,59078,58745,58811,58896,58120,57650,57490
Massachusetts,65258,64462,64724,65157,66360,65200,65790,68630
Michigan,112742,110682,106017,105446,104210,102520,102020,100800
Minnesota,59729,59667,59357,57501,58255,56370,56800,56640
Mississippi,24505,25478,27321,26158,26502,26650,26260,26770
Missouri,62969,63994,62994,61313,61407,60900,60590,61600
Montana,10077,10075,9732,9750,9369,9470,9390,9320
Nebraska,19501,19370,20331,20464,20442,20580,20650,21090
Nevada,19904,20956,21182,21891,23038,22720,23040,23190
New Hampshire,14757,15034,14495,14426,14262,13790,13520,13600
New Jersey,95085,96225,95186,93819,96490,95220,95250,97130
New Mexico,17931,18595,19352,20315,19232,18590,19530,19480
New York,180917,183826,182759,180806,180351,178810,179110,178260
North Carolina,86712,88704,89892,93977,94339,96210,97020,98970
North Dakota,7232,7155,7156,6942,6900,6960,7040,7020
Ohio,122203,123437,124229,123135,122491,119520,120940,125050
Oklahoma,37219,38503,37744,37305,37033,37260,38420,39690
Oregon,35138,34671,34723,34261,33899,34440,34800,35650
Pennsylvania,130658,131182,130284,131733,129777,127200,123560,121840
Rhode Island,10028,9908,9724,9751,9579,9730,9900,10050
South Carolina,39114,40438,40708,41442,42246,41720,42650,43840
South Dakota,8123,8162,8248,8196,8239,7960,8140,8080
Tennessee,60368,62408,61862,62454,61323,60970,62010,63480
Texas,264275,280894,290470,292531,301390,304360,309280,318660
Utah,30463,31481,30888,31157,33186,33400,34070,35400
Vermont,7209,7199,6932,6859,6491,6360,6240,6090
Virginia,79651,81511,82895,83336,83279,83100,82680,84640
Washington,62764,66046,66453,65205,66066,66240,68200,69770
West Virginia,17690,17651,17311,17603,17924,17510,17460,17640
Wisconsin,65410,64687,64135,62705,61425,60810,60460,60710
Wyoming,5493,5695,5600,5553,5489,5590,5550,5700
