In Current Dollars,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18
Alaska,3435,3793,4194,4425,4678,4922,5261,5455,5785,5885,6138,6703,7128,7438
Alabama,4510,4782,4906,5244,5968,6487,7373,8001,8734,9161,9480,9746,10083,10530
Arkansas,4581,4980,5314,5599,5914,5980,6304,6654,6995,7251,7594,7882,8254,8553
Arizona,4078,4434,4674,4959,5584,6554,8075,9435,9728,10078,10396,10634,10931,11218
California,4195,4526,4549,4951,5436,6550,7485,8933,8986,9078,9171,9267,9302,9680
Colorado,3733,4427,4772,5435,5792,6270,7078,7872,8441,9096,9283,9748,10287,10797
Connecticut,6336,6754,7135,7574,8038,8456,8977,9217,9635,10232,10646,11174,11781,12392
District of Columbia,2520,2520,3210,3770,3770,5370,7000,7000,7244,7255,7338,7421,7844,8060
Delaware,6629,7050,7403,7808,8291,9012,9623,10438,10908,11259,11495,11676,11929,12267
Florida,3054,3213,3315,3386,3825,4316,5034,5624,6235,6315,6334,6360,6355,6363
Georgia,3411,3678,3909,4181,4453,5008,5872,7298,7539,7823,8049,8447,8415,8573
Hawaii,3386,3491,4227,5017,5823,6638,7458,8368,8613,9073,9696,10175,10651,10658
Iowa,5407,5619,5900,6218,6433,6712,7155,7562,7831,7837,7855,7877,8270,8759
Idaho,3591,3922,4156,4382,4612,4886,5330,5682,5989,6325,6599,6818,7013,7250
Illinois,6494,6914,8058,9099,10021,10410,10969,11630,12168,12580,12791,13027,13440,13621
Indiana,5847,6155,6555,6875,7222,7643,7988,8343,8715,8926,9033,9120,9245,9361
Kansas,4242,4699,5213,5746,6010,6312,6627,6920,7280,7729,8256,8443,8907,9227
Kentucky,4476,5029,5764,6279,6809,7116,7519,7974,8462,8701,9208,9567,9971,10302
Louisiana,3534,3695,3770,3830,4073,4282,4733,5246,5875,6605,7324,8130,8933,9302
Massachusetts,7034,7335,7583,7887,8239,9239,9488,10165,10649,10748,10968,11615,12312,12732
Maryland,6770,7137,7216,7314,7392,7476,7737,7961,8210,8480,8682,9163,9358,9575
Maine,5601,6065,6616,7334,8078,8544,8945,9366,9363,9391,9544,9573,9687,9965
Michigan,6294,7097,7673,8499,9130,9761,10135,10841,11193,11600,11599,11994,12477,12935
Minnesota,6463,6944,7518,7798,8317,8788,9387,10018,10361,10464,10564,10831,11016,11302
Missouri,5934,6271,6526,6845,7228,7215,7271,7685,7945,8093,8395,8553,8628,8875
Mississippi,3991,4184,4450,4757,4947,4952,5294,5673,6159,6565,6859,7147,7481,7988
Montana,4468,4918,5258,5302,5336,5485,5612,5881,6155,6225,6291,6351,6431,6907
North Carolina,3566,3655,4067,4306,4391,4539,5323,5689,6201,6516,6673,6969,7199,7385
North Dakota,4606,5074,5512,5803,6107,6335,6569,6861,7006,7274,7514,7688,7890,8197
Nebraska,4720,5302,5229,5581,5956,6234,6600,6906,7184,7315,7335,7608,7894,8269
New Hampshire,8085,8584,9127,9698,10293,11075,11946,13502,14615,14652,14731,15160,15700,16073
New Jersey,7979,8601,9331,9974,10748,11133,11649,12030,12417,12723,13005,13306,13562,13868
New Mexico,3909,4247,4056,4248,4520,4786,5128,5435,5678,5960,6155,6406,6636,6921
Nevada,2874,3019,3645,3948,4397,4543,5318,6043,6390,6387,6427,6661,6910,7274
New York,4948,5006,5041,5076,5121,5740,5793,6204,6562,6926,7293,7645,7710,7940
Ohio,8236,8340,8444,8462,8474,8505,9056,9448,9768,9942,10087,10205,10307,10505
Oklahoma,3535,3798,4432,4993,5641,5421,5750,6071,6403,6583,7082,7450,8032,8460
Oregon,5221,5430,5576,5946,6239,6906,7434,7994,8312,8600,8934,9371,9740,10357
Pennsylvania,8249,8643,9051,9792,10353,10764,11331,12085,12377,12802,13135,13393,13944,14437
Puerto Rico,1174,1411,1421,1786,1868,1892,2549,2613,2741,1912,2088,2110,2175,2167
Rhode Island,5933,6439,6787,7221,7727,8503,9319,10014,10921,10896,10959,11396,11423,12226
South Carolina,6611,7385,7913,8371,9132,9520,10063,10356,10744,11166,11450,11816,12207,12615
South Dakota,4348,4593,4969,5343,5698,6031,6318,6793,7388,7644,7700,8055,8161,8446
Tennessee,4306,4763,4973,5365,5686,6098,6522,7170,7676,8036,8925,9263,9537,9789
Texas,5075,5385,5985,6450,6919,7328,7744,8053,8344,8521,8837,9221,9536,9836
Utah,3274,3583,3816,4059,4275,4573,4916,5300,5612,5914,6161,6363,6560,6788
Virginia,5579,6023,6556,7008,7581,7936,8809,9535,9901,10366,11183,11818,12353,12820
Vermont,8783,9248,9783,10485,11341,12016,12474,13095,13525,13965,14476,14993,15562,16043
Washington,4914,5252,5670,5986,6433,7321,8197,9494,10595,10811,10685,10287,9270,9480
Wisconsin,5218,5626,6042,6413,6796,7169,7711,8197,8690,8741,8770,8809,8933,8962
West Virginia,3631,3871,4166,4406,4707,4980,5226,5536,5885,6253,6687,7143,7492,7887
Wyoming,3243,3429,3515,3554,3621,3726,3927,4125,4278,4404,4646,4891,5055,5217
